No.,발주번호,호선,중산도면,원도면,품명,재질,소재,길이,수량,중량,영업납기,선급,현재진행공정,지연,비고,긴급,단가
75,D21040900C9,SITC2267/SITC2002/SITC2001,S00036,DN122-A30160-02,STUD BOLT,SCM440, Φ32,207,138,183,2021-06-23,,CNC1차대기-20210423,-33,HSD엔진(주),,4845
76,A21040900CU,KAA006828,S00045,212R6136180,STUD BOLT,SCM440, Φ38,235,52,110,2021-06-23,,CNC1차대기-20210428,-28,현대중공업,,6295
79,A210504002X,KBA007323,061102,BH203449500,STUD FOR COUNT WEIGHT,SNCM439, Φ32,295,240,451,2021-06-23,검사품,CNC1차대기-20210524,-2,현대중공업,,12500
81,A21050700HH,3500327071,Z00140,11030950197/B1213039647,CON ROD STUD,SNCM439, Φ32,209,400,535,2021-06-24,검사품,CNC2차대기-20210527,-1,현대글로벌서비스,,13960
83,D210414009G,PANT2413/NAT 2417,069400,13-923722-0,STARTING VALVE STUD,SNCM439, Φ28,202,70,69,2021-06-25,,CNC1차대기-20210430,-26,HSD엔진(주),,7600
84,A21042000CA,KAA007269/KAA007307/KAA007308,066038,A2923235243,COUPLING BOLT,SCM435, Φ60,260,20,117,2021-06-25,,CNC1차대기-20210521,-5,현대중공업,,42940
85,D2104220028,8225,066074,E4016142-01(PK),STUD,SNCM439, Φ25,373,44,64,2021-06-26,,CNC1차대기-20210505,-21,금용기계㈜,,8835
86,A2104220048,N983/0316321/UNIS2415,069494,12-909946-1/A12-701278-9.0,STUD,SCM440, Φ32,674,40,171,2021-06-26,,CNC1차대기-20210517,-9,금용기계㈜,,27039
88,A210406004O,NAT 2417/BWGA2509P1,069559,11-041261-0/3Y-45236-00,EXHAUST VALVE STUD,S30CRNIMOQT, Φ85,964,32,1378,2021-06-28,검사품,CNC1차대기-20210531,4,HSD엔진(주),,242250
89,A2104300074,"신고리 5,6호기 PJT. 6호/신고리 5,6호기 PJT. 5호",K00563,64-010292-1,SPECIAL WASHER,SCM435, Φ70,20,16,11,2021-06-28,,CNC1차대기-20210517,-9,HSD엔진(주),,95000
90,A2104300073,"신고리 5,6호기 PJT. 6호/신고리 5,6호기 PJT. 5호",K00562,64-010293-0,THRUST PIN,SCM435, Φ22,30,16,2,2021-06-28,,CNC1차대기-20210517,-9,HSD엔진(주),,7500
93,A21042300BG,CMES3097/SK  5488,061609,13-904115-2,STUD,SCM440, Φ38,389,33,115,2021-06-29,,CNC1차대기-20210507,-19,HSD엔진(주),,11900
94,D210520005N,CMES3097,058045,13-927064-0,SPHERICAL WASHER,S45C, Φ180,37,64,511,2021-06-29,,CNC1차대기-20210525,-1,HSD엔진(주),,246800
95,A210430003V,KAA007363,067921,A1358143720,STUD,SCM435, Φ70,559,12,204,2021-06-29,,CNC1차대기-20210528,1,현대중공업,,39200
98,A210329001V,KBA007125,057791,B9211183862,STUD FOR CYL.HEAD,SNCM439 QT, Φ40,787,200,1558,2021-06-29,검사품,CNC1차대기-20210520,-6,현대중공업,,40973
99,A210427003P,N983/BC210K-9/H0316322,063473,A13-562563-4.0(PK안함),STUD,SCM440, Φ35,585,72,320,2021-06-30,,CNC2차대기-20210531,2,(주)화영,,26140
100,A210504004C,SITC2267/SITC2268,067820,13-921604-1/3Y-24063-00,stud-exhaust valve,S30CRNIMO, Φ22,527,716,1132,2021-06-30,검사품,CNC1차대기-20210527,0,중산,,23362
101,A210408002J,KBA007219/KBA007037,062953,B9906836996/B9906836995/B9906836997,SIDE STUD,SNCM439, Φ40,422,194,807,2021-06-30,검사품,CNC1차대기-20210531,4,현대중공업,,23500
102,A21042800CD,SN2332,K03894,B9906837083,MAIN BEARING STUD,SNCM439 QT, Φ48,783,66,739,2021-06-30,ABS-W,CNC1차대기-20210528,-5,현대중공업,,60000
103,A2104270043,KAA007307,065848,A2914998005,COUPLING BOLT,SCM435, Φ65,306,18,145,2021-06-30,,CNC1차대기-20210521,-5,현대중공업,,44732
104,A21052000FE,KYE001116,062732,B9301989863,FITTD STUD FOR FLYWHEEL,SNCM439, Φ40,270,2,5,2021-06-30,,CNC1차대기-20210528,1,현대중공업,,32000
105,A210429009O,KBF005462/KBF005461/KBF005460,057387,B9904692660,STUD FOR CON-ROD SHAFT ,SNCM439, Φ35,246,400,752,2021-06-30,,CNC2차대기-20210518,-10,현대중공업,,21160
106,A210429009F,KBF005462/KBF005461/KBF005460,057386,B9904692540,STUD FOR CON-ROD BIG END,SNCM439, Φ35,461,400,1401,2021-06-30,,CNC1차(40),-15,현대중공업,,28520
110,A210513009A,1DP573SD5150,056587,A1343851520,"STUD, AXIAL VIBR DAMPER",SCM440, Φ26,544,20,46,2021-07-01,,CNC1차대기-20210528,1,유림공업㈜,,12740
111,A210513009D,1DP573SD5160,057045,A1343851640,STUD,SCM440, Φ38,615,10,55,2021-07-01,,CNC1차대기-20210527,0,유림공업㈜,,21260
112,A21042900HI,202103080058-HHI-SN2377-H32/40-한국프랜지공업/202103080041-HHI-SN2377-H32/40-한국프랜지공업,057387,B9904692662,STUD FOR CON-ROD SHAFT ,SNCM439, Φ35,246,144,271,2021-07-01,ABS/W,CNC2차대기-20210520,-8,하경산업,,16100
113,D21050400I3,8H KBA007361/3241/DNGL/202011040024-HHI-HMD8282-6H21/32/8H KBA007361/3241/DNGL S,K04046,B9912088080,STUD FOR CON-ROD BIG END,SNCM439, Φ30,316,370,655,2021-07-01,검사품,CNC1차대기-20210518,-8,하경산업,,9416
114,A21042900HH,202103080058-HHI-SN2377-H32/40-한국프랜지공업/202103080041-HHI-SN2377-H32/40-한국프랜지공업,057386,B9904692542,STUD FOR CON-ROD BIG END,SNCM439, Φ35,461,144,504,2021-07-01,ABS/W,CNC1차대기-20210510,-22,하경산업,,22750
116,A21020400ID,PANT2413,069159,12-909561-0,CYL COVER STUD,S30CRNIMOQT, Φ75,2671,52,4820,2021-07-02,AB/W ,CNC2차(9),-14,HSD엔진(주),,481190
