variable,solution
"u_K62330,21",0.0
"u_K62330,21",0.0
"u_K62330,21",0.0
"u_K62330,22",0.0
"u_K62330,22",0.0
"u_K62330,22",0.0
"u_K62330,22",0.0
"u_K62330,22",0.0
"u_K62330,22",0.0
"u_K62330,22",0.0
"u_K62330,22",0.0
"u_K62330,22",0.0
"u_K62330,22",0.0
"u_K62330,22",0.0
"u_K62330,22",0.0
"u_K62330,22",0.0
"u_K62330,22",0.0
"u_K62330,23",0.0
"u_K62330,23",0.0
"u_K62330,23",0.0
"u_K62330,23",0.0
"u_K62330,23",0.0
"u_K62330,23",0.0
"u_K62330,23",0.0
"u_K62330,23",0.0
"u_K62330,23",0.0
"u_K62330,23",0.0
"u_K62330,23",0.0
"u_K62330,23",0.0
"u_K62330,23",0.0
"u_K62330,23",0.0
"u_K62330,24",0.0
"u_K62330,24",0.0
"u_K62330,24",0.0
"u_K62330,24",0.0
"u_K62330,24",0.0
"u_K62330,24",0.0
"u_K62330,24",0.0
"u_K62330,24",0.0
"u_K62330,24",0.0
"u_K62330,24",0.0
"u_K62330,24",0.0
"u_K62330,24",0.0
"u_K62330,24",0.0
"u_K62330,24",0.0
"u_K62330,25",0.0
"u_K62330,25",0.0
"u_K62330,25",0.0
"u_K62330,25",0.0
"u_K62330,25",0.0
"u_K62330,25",0.0
"u_K62330,25",0.0
"u_K62330,25",0.0
"u_K62330,25",0.0
"u_K62330,25",0.0
"u_K62330,25",0.0
"u_K62330,25",0.0
"u_K62330,25",0.0
"u_K62330,25",0.0
"u_K62330,26",0.0
"u_K62330,26",0.0
"u_K62330,26",0.0
"u_K62330,26",0.0
"u_K62330,26",0.0
"u_K62330,26",0.0
"u_K62330,26",0.0
"u_K62330,26",0.0
"u_K62330,26",0.0
"u_K62330,26",0.0
"u_K62330,26",0.0
"u_K62330,26",0.0
"u_K62330,26",0.0
"u_K62330,26",0.0
"u_K62330,27",0.0
"u_K62330,27",0.0
"u_K62330,27",0.0
"u_K62330,27",0.0
"u_K62330,27",0.0
"u_K62330,27",0.0
"u_K62330,27",0.0
"u_K62330,27",0.0
"u_K62330,27",0.0
"u_K62330,27",0.0
"u_K62330,27",0.0
"u_K62330,27",0.0
"u_K62330,27",0.0
"u_K62330,27",0.0
"u_K62330,28",0.0
"u_K62330,28",0.0
"u_K62330,28",0.0
"u_K62330,28",0.0
"u_K62330,28",0.0
"u_K62330,28",0.0
"u_K62330,28",0.0
"u_K62330,28",0.0
"u_K62330,28",0.0
"u_K62330,28",0.0
"u_K62330,28",0.0
"u_K62330,28",0.0
"u_K62330,28",0.0
"u_K62330,28",0.0
"u_K62330,29",0.0
"u_K62330,29",0.0
"u_K62330,29",0.0
"u_K62330,29",0.0
"u_K62330,29",0.0
"u_K62330,29",0.0
"u_K62330,29",0.0
"u_K62330,29",0.0
"u_K62330,29",0.0
"u_K62330,29",0.0
"u_K62330,29",0.0
"u_K62330,29",0.0
"u_K62330,29",0.0
"u_K62330,29",0.0
"u_K62330,3",0.0
"u_K62330,30",0.0
"u_K62330,30",0.0
"u_K62330,30",0.0
"u_K62330,30",0.0
"u_K62330,30",0.0
"u_K62330,30",0.0
"u_K62330,30",0.0
"u_K62330,30",0.0
"u_K62330,30",0.0
"u_K62330,30",0.0
"u_K62330,30",0.0
"u_K62330,30",0.0
"u_K62330,30",0.0
"u_K62330,30",0.0
"u_K62330,31",0.0
"u_K62330,31",0.0
"u_K62330,31",0.0
"u_K62330,31",0.0
"u_K62330,31",0.0
"u_K62330,31",0.0
"u_K62330,31",0.0
"u_K62330,31",0.0
"u_K62330,31",0.0
"u_K62330,31",0.0
"u_K62330,31",0.0
"u_K62330,31",0.0
"u_K62330,31",0.0
"u_K62330,31",0.0
"u_K62330,32",0.0
"u_K62330,32",0.0
"u_K62330,32",0.0
"u_K62330,32",0.0
"u_K62330,32",0.0
"u_K62330,32",0.0
"u_K62330,32",0.0
"u_K62330,32",0.0
"u_K62330,32",0.0
"u_K62330,32",0.0
"u_K62330,32",0.0
"u_K62330,32",0.0
"u_K62330,32",0.0
"u_K62330,32",0.0
"u_K62330,33",0.0
"u_K62330,33",0.0
"u_K62330,33",0.0
"u_K62330,33",0.0
"u_K62330,33",0.0
"u_K62330,33",0.0
"u_K62330,33",0.0
"u_K62330,33",0.0
"u_K62330,33",0.0
"u_K62330,33",0.0
"u_K62330,33",0.0
"u_K62330,33",0.0
"u_K62330,33",0.0
"u_K62330,33",0.0
"u_K62330,34",0.0
"u_K62330,34",0.0
"u_K62330,34",0.0
"u_K62330,34",0.0
"u_K62330,34",0.0
"u_K62330,34",0.0
"u_K62330,34",0.0
"u_K62330,34",0.0
"u_K62330,34",0.0
"u_K62330,34",0.0
"u_K62330,34",0.0
"u_K62330,34",0.0
"u_K62330,34",0.0
"u_K62330,34",0.0
"u_K62330,35",0.0
"u_K62330,35",0.0
"u_K62330,35",0.0
"u_K62330,35",0.0
"u_K62330,35",0.0
"u_K62330,35",0.0
"u_K62330,35",0.0
"u_K62330,35",0.0
"u_K62330,35",0.0
"u_K62330,35",0.0
"u_K62330,35",0.0
"u_K62330,35",0.0
"u_K62330,35",0.0
"u_K62330,35",0.0
"u_K62330,36",0.0
"u_K62330,36",0.0
"u_K62330,36",0.0
"u_K62330,36",0.0
"u_K62330,36",0.0
"u_K62330,36",0.0
"u_K62330,36",0.0
"u_K62330,36",0.0
"u_K62330,36",0.0
"u_K62330,36",0.0
"u_K62330,36",0.0
"u_K62330,36",0.0
"u_K62330,36",0.0
"u_K62330,36",0.0
"u_K62330,37",0.0
"u_K62330,37",0.0
"u_K62330,37",0.0
"u_K62330,37",0.0
"u_K62330,37",0.0
"u_K62330,37",0.0
"u_K62330,37",0.0
"u_K62330,37",0.0
"u_K62330,37",0.0
"u_K62330,37",0.0
"u_K62330,37",0.0
"u_K62330,37",0.0
"u_K62330,37",0.0
"u_K62330,37",0.0
"u_K62330,38",0.0
"u_K62330,38",0.0
"u_K62330,38",0.0
"u_K62330,38",0.0
"u_K62330,38",0.0
"u_K62330,38",0.0
"u_K62330,38",0.0
"u_K62330,38",0.0
"u_K62330,38",0.0
"u_K62330,38",0.0
"u_K62330,38",0.0
"u_K62330,38",0.0
"u_K62330,38",0.0
"u_K62330,38",0.0
"u_K62330,39",0.0
"u_K62330,39",0.0
"u_K62330,39",0.0
"u_K62330,39",0.0
"u_K62330,39",0.0
"u_K62330,39",0.0
"u_K62330,39",0.0
"u_K62330,39",0.0
"u_K62330,39",0.0
"u_K62330,39",0.0
"u_K62330,39",0.0
"u_K62330,39",0.0
"u_K62330,39",0.0
"u_K62330,39",0.0
"u_K62330,4",0.0
"u_K62330,40",0.0
"u_K62330,40",0.0
"u_K62330,40",0.0
"u_K62330,40",0.0
"u_K62330,40",0.0
"u_K62330,40",0.0
"u_K62330,40",0.0
"u_K62330,40",0.0
"u_K62330,40",0.0
"u_K62330,40",0.0
"u_K62330,40",0.0
"u_K62330,40",0.0
"u_K62330,40",0.0
"u_K62330,40",0.0
"u_K62330,41",0.0
"u_K62330,41",0.0
"u_K62330,41",0.0
"u_K62330,41",0.0
"u_K62330,41",0.0
"u_K62330,41",0.0
"u_K62330,41",0.0
"u_K62330,41",0.0
"u_K62330,41",0.0
"u_K62330,41",0.0
"u_K62330,41",0.0
"u_K62330,41",0.0
"u_K62330,41",0.0
"u_K62330,41",0.0
"u_K62330,42",0.0
"u_K62330,42",0.0
"u_K62330,42",0.0
"u_K62330,42",0.0
"u_K62330,42",0.0
"u_K62330,42",0.0
"u_K62330,42",0.0
"u_K62330,42",0.0
"u_K62330,42",0.0
"u_K62330,42",0.0
"u_K62330,42",0.0
"u_K62330,42",0.0
"u_K62330,42",0.0
"u_K62330,42",0.0
"u_K62330,43",0.0
"u_K62330,43",0.0
"u_K62330,43",0.0
"u_K62330,43",0.0
"u_K62330,43",0.0
"u_K62330,43",0.0
"u_K62330,43",0.0
"u_K62330,43",0.0
"u_K62330,43",0.0
"u_K62330,43",0.0
"u_K62330,43",0.0
"u_K62330,43",0.0
"u_K62330,43",0.0
"u_K62330,43",0.0
"u_K62330,44",0.0
"u_K62330,44",0.0
"u_K62330,44",0.0
"u_K62330,44",0.0
"u_K62330,44",0.0
"u_K62330,44",0.0
"u_K62330,44",0.0
"u_K62330,44",0.0
"u_K62330,44",0.0
"u_K62330,44",0.0
"u_K62330,44",0.0
"u_K62330,44",0.0
"u_K62330,44",0.0
"u_K62330,44",0.0
"u_K62330,45",0.0
"u_K62330,45",0.0
"u_K62330,45",0.0
"u_K62330,45",0.0
"u_K62330,45",0.0
"u_K62330,45",0.0
"u_K62330,45",0.0
"u_K62330,45",0.0
"u_K62330,45",0.0
"u_K62330,45",0.0
"u_K62330,45",0.0
"u_K62330,45",0.0
"u_K62330,45",0.0
"u_K62330,45",0.0
"u_K62330,46",0.0
"u_K62330,46",0.0
"u_K62330,46",0.0
"u_K62330,46",0.0
"u_K62330,46",0.0
"u_K62330,46",0.0
"u_K62330,46",0.0
"u_K62330,46",0.0
"u_K62330,46",0.0
"u_K62330,46",0.0
"u_K62330,46",0.0
"u_K62330,46",0.0
"u_K62330,46",0.0
"u_K62330,46",0.0
"u_K62330,47",0.0
"u_K62330,47",0.0
"u_K62330,47",0.0
"u_K62330,47",0.0
"u_K62330,47",0.0
"u_K62330,47",0.0
"u_K62330,47",0.0
"u_K62330,47",0.0
"u_K62330,47",0.0
"u_K62330,47",0.0
"u_K62330,47",0.0
"u_K62330,47",0.0
"u_K62330,47",0.0
"u_K62330,47",0.0
"u_K62330,5",0.0
"u_K62330,6",0.0
"u_K62330,7",0.0
"u_K62330,8",0.0
"u_K62330,9",0.0
"u_K62330,9",0.0
"u_K62330,9",0.0
"u_K62330,9",0.0
"u_K62330,9",0.0
"u_K62330,9",0.0
"u_K62330,9",0.0
"u_K62330,9",0.0
"u_K62330,9",0.0
"u_K62330,9",0.0
"u_K62330,9",0.0
"u_K62330,9",0.0
"u_K62330,9",0.0
"u_K62330,9",0.0
"u_K62716,0",0.0
"u_K62716,1",0.0
"u_K62716,10",0.0
"u_K62716,11",0.0
"u_K62716,12",0.0
"u_K62716,13",0.0
"u_K62716,14",0.0
"u_K62716,15",0.0
"u_K62716,16",0.0
"u_K62716,17",0.0
"u_K62716,18",0.0
