,0
"('S00271', 412.0, '2021-05-10')",0
"('S00271', 412.0, '2021-05-24')",0
"('S00271', 412.0, '2021-05-13')",0
"('S00271', 412.0, '2021-05-31')",0
"('S00271', 412.0, '2021-02-18')",0
"('S00271', 412.0, '2021-02-10')",0
"('S00271', 416.0, '2021-04-10')",0
"('S00271', 416.0, '2021-05-30')",0
"('S00271', 416.0, '2021-03-10')",0
"('S00271', 416.0, '2021-05-10')",0
"('S00271', 416.0, '2021-05-24')",0
"('S00271', 416.0, '2021-05-13')",0
"('S00271', 416.0, '2021-05-31')",0
"('S00271', 416.0, '2021-02-18')",0
"('S00271', 416.0, '2021-02-10')",0
"('S00271', 421.0, '2021-04-10')",0
"('S00271', 421.0, '2021-05-30')",0
"('S00271', 421.0, '2021-03-10')",0
"('S00271', 421.0, '2021-05-10')",0
"('S00271', 421.0, '2021-05-24')",0
"('S00271', 421.0, '2021-05-13')",0
"('S00271', 421.0, '2021-05-31')",0
"('S00271', 421.0, '2021-02-18')",0
"('S00271', 421.0, '2021-02-10')",0
"('S00271', 422.0, '2021-04-10')",0
"('S00271', 422.0, '2021-05-30')",0
"('S00271', 422.0, '2021-03-10')",0
"('S00271', 422.0, '2021-05-10')",0
"('S00271', 422.0, '2021-05-24')",0
"('S00271', 422.0, '2021-05-13')",0
"('S00271', 422.0, '2021-05-31')",0
"('S00271', 422.0, '2021-02-18')",0
"('S00271', 422.0, '2021-02-10')",0
"('S00271', 424.0, '2021-04-10')",0
"('S00271', 424.0, '2021-05-30')",0
"('S00271', 424.0, '2021-03-10')",0
"('S00271', 424.0, '2021-05-10')",0
"('S00271', 424.0, '2021-05-24')",0
"('S00271', 424.0, '2021-05-13')",0
"('S00271', 424.0, '2021-05-31')",0
"('S00271', 424.0, '2021-02-18')",0
"('S00271', 424.0, '2021-02-10')",0
"('S00271', 425.0, '2021-04-10')",0
"('S00271', 425.0, '2021-05-30')",0
"('S00271', 425.0, '2021-03-10')",0
"('S00271', 425.0, '2021-05-10')",0
"('S00271', 425.0, '2021-05-24')",0
"('S00271', 425.0, '2021-05-13')",0
"('S00271', 425.0, '2021-05-31')",32
"('S00271', 425.0, '2021-02-18')",0
"('S00271', 425.0, '2021-02-10')",0
"('S00271', 426.0, '2021-04-10')",0
"('S00271', 426.0, '2021-05-30')",0
"('S00271', 426.0, '2021-03-10')",0
"('S00271', 426.0, '2021-05-10')",0
"('S00271', 426.0, '2021-05-24')",0
"('S00271', 426.0, '2021-05-13')",0
"('S00271', 426.0, '2021-05-31')",0
"('S00271', 426.0, '2021-02-18')",0
"('S00271', 426.0, '2021-02-10')",0
"('S00271', 433.0, '2021-04-10')",0
"('S00271', 433.0, '2021-05-30')",0
"('S00271', 433.0, '2021-03-10')",0
"('S00271', 433.0, '2021-05-10')",0
"('S00271', 433.0, '2021-05-24')",0
"('S00271', 433.0, '2021-05-13')",0
"('S00271', 433.0, '2021-05-31')",0
"('S00271', 433.0, '2021-02-18')",0
"('S00271', 433.0, '2021-02-10')",0
"('S00271', 434.0, '2021-04-10')",0
"('S00271', 434.0, '2021-05-30')",0
"('S00271', 434.0, '2021-03-10')",0
"('S00271', 434.0, '2021-05-10')",0
"('S00271', 434.0, '2021-05-24')",0
"('S00271', 434.0, '2021-05-13')",0
"('S00271', 434.0, '2021-05-31')",0
"('S00271', 434.0, '2021-02-18')",0
"('S00271', 434.0, '2021-02-10')",0
"('S00271', 435.0, '2021-04-10')",0
"('S00271', 435.0, '2021-05-30')",0
"('S00271', 435.0, '2021-03-10')",0
"('S00271', 435.0, '2021-05-10')",0
"('S00271', 435.0, '2021-05-24')",0
"('S00271', 435.0, '2021-05-13')",0
"('S00271', 435.0, '2021-05-31')",0
"('S00271', 435.0, '2021-02-18')",0
"('S00271', 435.0, '2021-02-10')",0
"('S00271', 436.0, '2021-04-10')",0
"('S00271', 436.0, '2021-05-30')",0
"('S00271', 436.0, '2021-03-10')",0
"('S00271', 436.0, '2021-05-10')",0
"('S00271', 436.0, '2021-05-24')",0
"('S00271', 436.0, '2021-05-13')",0
"('S00271', 436.0, '2021-05-31')",0
"('S00271', 436.0, '2021-02-18')",0
"('S00271', 436.0, '2021-02-10')",0
